date,Close,High,Low,Open,Volume,news_count,avg_sentiment,max_sentiment,min_sentiment,high_impact_count,medium_impact_count,negative_count,daily_return,price_range,Target
2024-07-29,216.36573791503903,217.41663210574904,213.8971168447476,215.0967318967012,36311800,171.0,0.3543,0.8221,-0.6114,33.0,54.0,27.0,0.12845341690606027,3.519515261001459,216.92092895507807
2024-07-30,216.92092895507807,218.43778796730905,214.2639371695869,217.3075789949067,41643800,57.0,0.1181,0.8221,-0.6114,11.0,18.0,9.0,0.2565984085045159,4.173850797722139,220.1727752685547
2024-07-31,220.1727752685547,221.8978375670677,218.73523091700037,219.53827220377053,50036300,57.0,0.1181,0.8221,-0.6114,11.0,18.0,9.0,1.4990929317613366,3.162606650067346,216.48472595214844
2024-08-01,216.48472595214844,222.5521625800544,215.15623749650504,222.4431066544272,62501000,114.0,0.1542,0.9001,-0.7269,21.0,45.0,16.0,-1.6750705494390838,7.3959250835493435,217.9718170166016
2024-08-02,217.9718170166016,223.6625266661827,215.8402875210575,217.2679079240609,105568600,103.0,0.1077,0.7096,-0.8777,17.0,42.0,16.0,0.6869265523988366,7.822239145125224,207.47276306152344
2024-08-05,207.47276306152344,211.6664309709882,194.3167235143498,197.38018251460616,119548600,182.0,0.24980000000000002,0.8481,-0.9217,30.0,79.0,42.0,-4.816702497955738,17.349707456638384,205.4502716064453
2024-08-06,205.4502716064453,208.18657796978488,199.3431861620261,203.53685401433648,69660500,102.0,0.1185,0.875,-0.926,16.0,49.0,17.0,-0.9748226346599442,8.843391807758792,208.0180511474609
2024-08-07,208.0180511474609,211.80523672133984,204.61750047992084,205.1231151005704,63516400,108.0,0.1675,0.875,-0.8658,20.0,42.0,12.0,1.2498302002415196,7.187736241419003,211.47808837890625
2024-08-08,211.47808837890625,212.36044444161047,207.0365669160157,211.27980900719396,47161100,144.0,0.1178,0.7003,-0.5994,19.0,73.0,25.0,1.6633350867192531,5.3238775255947814,214.3829345703125
2024-08-09,214.3829345703125,214.91829038971971,210.1496011292121,210.27848952903548,42201600,82.0,0.1925,0.7845,-0.4215,11.0,38.0,8.0,1.3735920414608804,4.768689260507614,215.9114532470703
2024-08-12,215.9114532470703,217.8767166928247,213.9958208022464,214.46232494953352,38028100,185.0,0.1852,0.8591,-0.9001,34.0,77.0,37.0,0.7129852382240287,3.880895890578273,219.62364196777344
2024-08-13,219.62364196777344,220.23902400333972,217.38044783379533,217.38044783379533,44155300,102.0,0.1725,0.886,-0.9393,19.0,41.0,10.0,1.7193107011582276,2.858576169544392,220.07028198242188
2024-08-14,220.07028198242188,221.3705324358261,218.06530765715263,218.9288446755302,41960600,96.0,0.0841,0.7579,-0.8126,17.0,43.0,19.0,0.2033660905750745,3.3052247786734767,223.0479736328125
2024-08-15,223.0479736328125,223.6732909687273,221.10255033510867,222.9288713384501,46414000,33.0,0.0478,0.7184,-0.5574,4.0,17.0,8.0,1.3530639501013964,2.5707406336186125,224.36805725097656
2024-08-16,224.36805725097656,225.1422523777464,221.98590558416169,222.25390086504493,44340200,65.0,0.1819,0.7184,-0.6808,14.0,25.0,7.0,0.5918384268028376,3.156346793584703,224.20925903320312
2024-08-19,224.20925903320312,224.30852103873067,221.38045847347976,224.0405257400108,40687800,141.0,0.2163,0.8271,-0.9186,25.0,64.0,29.0,-0.07077576893924631,2.9280625652509116,224.82464599609372
2024-08-20,224.82464599609372,225.47973889834265,223.7725353535306,224.0901616619868,30299000,75.0,0.0852,0.8074,-0.7579,14.0,37.0,19.0,0.2744699150892149,1.707203544812046,224.7154693603516
2024-08-21,224.7154693603516,226.2837152200136,223.375523094966,224.8345868015738,34765500,96.0,0.1118,0.7906,-0.7906,19.0,39.0,16.0,-0.048560795129204415,2.9081921250475773,222.85939025878903
2024-08-22,222.85939025878903,226.64103964823343,222.2340729078472,226.09512887719345,43695300,74.0,0.074,0.93,-0.9001,14.0,31.0,15.0,-0.8259685489591995,4.406966740386224,225.15220642089844
2024-08-23,225.15220642089844,226.5219434569281,222.66088738350675,223.9809934126029,38677300,82.0,0.0866,0.7845,-0.7269,12.0,37.0,18.0,1.0288173899457131,3.8610560734213664,225.4896697998047
2024-08-26,225.4896697998047,225.58893181224727,222.22415556593285,225.07279660900764,30602200,141.0,0.1529,0.8271,-0.8442,31.0,66.0,40.0,0.14988233260988526,3.3647762463144204,226.33334350585935
2024-08-27,226.33334350585935,227.1472495725316,223.21670725505916,224.31844891527624,35934600,77.0,0.1096,0.9153,-0.7184,10.0,36.0,12.0,0.3741518211471506,3.9305423174724297,224.8048095703125
2024-08-28,224.8048095703125,228.149730282918,224.00082364270057,226.2241624042973,38052200,99.0,0.1133,0.8074,-0.8126,24.0,36.0,19.0,-0.6753463329221221,4.148906640217433,228.08023071289065
2024-08-29,228.08023071289065,231.18694665641485,227.17701311839377,228.38793686624163,51906300,115.0,0.1526,0.8402,-0.9616,27.0,45.0,19.0,1.4570067023204292,4.009933538021073,227.29611206054688
2024-08-30,227.29611206054688,228.68568922028223,225.7874174690805,228.4772602189495,52990800,115.0,0.1526,0.8402,-0.9616,27.0,45.0,19.0,-0.34379071342260925,2.898271751201719,221.11248779296875
2024-09-03,221.11248779296875,227.2961293418145,219.52438650802387,226.84948058831637,50190600,296.0,0.30400000000000005,0.8402,-0.9616,56.0,119.0,54.0,-2.7205147556289666,7.771742833790626,219.20677185058597
2024-09-04,219.20677185058597,220.12984491677884,215.8618360334932,220.01074262314265,43840200,92.0,0.0585,0.8481,-0.7096,13.0,38.0,18.0,-0.8618762157690196,4.268008883285631,220.7253875732422
2024-09-05,220.7253875732422,223.80231295165623,219.8717857931132,219.9809679444758,36615400,106.0,0.0988,0.8176,-0.8481,19.0,49.0,24.0,0.692777741232975,3.9305271585430432,219.177001953125
