date,news_count,avg_sentiment,max_sentiment,min_sentiment,high_impact_count,medium_impact_count,negative_count
2018-08-17,38,0.0466,0.802,-0.8074,11,18,14
2018-08-18,19,-0.0972,0.3018,-0.6249,2,6,5
2018-08-19,15,-0.0227,0.6738,-0.6369,4,6,4
2018-08-20,40,0.1259,0.9274,-0.7269,14,16,12
2018-08-21,51,0.0606,0.872,-0.8519,12,18,13
2018-08-22,18,-0.0133,0.8271,-0.7003,6,7,7
2018-08-23,45,-0.0416,0.7096,-0.8316,11,15,12
2018-08-24,51,0.011,0.872,-0.8555,14,24,17
2018-08-25,13,0.0372,0.5106,-0.5423,2,8,4
2018-08-26,15,-0.081,0.6249,-0.7579,7,4,6
2018-08-27,61,0.0575,0.872,-0.8225,15,24,15
2018-08-28,29,0.118,0.802,-0.765,8,14,7
2018-08-29,61,-0.0087,0.765,-0.8225,15,24,20
2018-08-30,58,0.1177,0.7783,-0.6124,9,36,16
2018-08-31,74,0.0088,0.743,-0.7717,18,38,25
2018-09-01,24,-0.1009,0.6369,-0.872,5,9,9
2018-09-02,19,-0.125,0.4588,-0.872,4,4,5
2018-09-03,63,0.1093,0.8957,-0.8625,12,34,17
2018-09-04,49,-0.006,0.8126,-0.8519,10,26,18
2018-09-05,80,-0.0572,0.7506,-0.7574,10,37,28
2018-09-06,71,-0.0292,0.7783,-0.8481,15,31,25
2018-09-07,61,-0.0615,0.7332,-0.8934,12,27,19
2018-09-08,19,-0.1481,0.4215,-0.8225,4,5,6
2018-09-09,19,0.1672,0.5574,-0.5994,4,7,2
2018-09-10,91,-0.08,0.7506,-0.7845,18,46,39
2018-09-11,72,-0.0182,0.8074,-0.8625,25,24,27
2018-09-12,70,0.0037,0.824,-0.7506,14,37,25
2018-09-13,44,-0.081,0.7003,-0.8074,8,21,16
2018-09-14,81,0.0093,0.7906,-0.7351,15,40,26
2018-09-15,21,0.001,0.743,-0.7783,4,12,9
2018-09-16,25,0.1263,0.5423,-0.6124,4,12,4
2018-09-17,89,0.0303,0.7269,-0.7377,15,34,21
2018-09-18,91,-0.0512,0.8442,-0.8115,23,38,32
2018-09-19,90,0.0189,0.8225,-0.7351,21,34,26
2018-09-20,74,-0.0171,0.743,-0.8225,22,36,31
2018-09-21,57,0.0894,0.8091,-0.7845,10,25,10
2018-09-22,13,0.072,0.824,-0.5994,4,6,4
2018-09-23,22,0.0045,0.6705,-0.743,4,10,8
2018-09-24,72,-0.0216,0.7096,-0.7906,13,30,21
2018-09-25,58,0.0114,0.7506,-0.9153,22,25,18
2018-09-26,71,-0.0412,0.6369,-0.7506,12,32,23
2018-09-27,72,0.0454,0.7063,-0.8957,13,32,16
2018-09-28,59,-0.0582,0.765,-0.836,14,32,28
2018-09-29,17,-0.0734,0.4767,-0.7964,4,9,7
2018-09-30,23,-0.078,0.6486,-0.7906,4,6,7
2018-10-01,58,0.0569,0.8613,-0.8779,11,20,13
2018-10-02,32,0.0907,0.8271,-0.5719,10,9,7
2018-10-03,64,0.0188,0.7003,-0.7579,16,35,24
2018-10-04,110,-0.0413,0.8429,-0.8555,20,53,39
2018-10-05,128,0.0183,0.8074,-0.8126,18,63,39
2018-10-06,24,-0.1027,0.7269,-0.7964,5,12,9
2018-10-07,30,-0.047,0.5106,-0.6249,4,15,11
2018-10-08,37,0.031,0.8122,-0.8352,8,14,9
2018-10-09,70,-0.033,0.8203,-0.8658,22,28,25
2018-10-10,55,0.0448,0.6908,-0.6808,13,27,16
2018-10-11,91,0.0009,0.8338,-0.8225,16,50,31
2018-10-12,71,0.0567,0.9042,-0.836,17,28,20
2018-10-13,17,0.1294,0.6486,-0.7256,5,9,4
2018-10-14,15,-0.0227,0.7506,-0.6369,2,9,6
2018-10-15,71,-0.0335,0.7579,-0.802,21,23,25
2018-10-16,63,0.1101,0.9186,-0.8271,16,22,15
2018-10-17,59,0.1035,0.9062,-0.765,19,25,17
2018-10-18,27,0.0508,0.7345,-0.7783,5,11,6
2018-10-19,43,-0.0102,0.765,-0.8271,8,20,15
2018-10-20,18,0.1562,0.4588,-0.4767,0,12,2
2018-10-21,21,-0.1359,0.4588,-0.8834,4,6,8
2018-10-22,56,0.0007,0.7964,-0.7351,12,21,18
2018-10-23,49,-0.0612,0.7003,-0.7096,14,24,22
2018-10-24,73,0.0611,0.7184,-0.765,18,37,23
2018-10-25,71,0.0153,0.9222,-0.8126,11,38,24
2018-10-26,72,0.0898,0.765,-0.6124,15,38,19
2018-10-27,17,-0.0326,0.7635,-0.8225,2,9,7
2018-10-28,17,-0.0971,0.5106,-0.6249,2,7,7
2018-10-29,80,0.0585,0.7269,-0.891,15,44,23
2018-10-30,91,-0.0671,0.7096,-0.8225,18,36,33
2018-10-31,97,0.0971,0.8176,-0.7783,24,35,20
2018-11-01,70,0.0628,0.7783,-0.6486,10,39,19
2018-11-02,74,0.0496,0.8519,-0.7845,19,28,22
2018-11-03,19,0.1511,0.743,-0.5423,3,9,3
2018-11-04,42,0.0144,0.6705,-0.8126,5,13,7
2018-11-05,73,-0.0599,0.8074,-0.8316,21,19,24
2018-11-06,69,0.0867,0.7574,-0.7906,10,37,14
2018-11-07,36,0.047,0.9027,-0.8126,11,14,11
2018-11-08,30,0.1151,0.7964,-0.5994,8,16,8
2018-11-09,56,-0.0322,0.9062,-0.8271,16,26,24
